symbol,price,pe,pb,market_cap,dma50,dma200,close,roe,growth,alpha
PNB,0,25,3,0,117.2363998413086,115.84874992370605,114.4800033569336,18,15,10.139999999999999
EICHERMOT,0,25,3,0,7321.75,6797.270827636718,7189.5,18,15,10.139999999999999
TITAN,0,25,3,0,4204.738017578125,3834.2325720214844,4525.89990234375,18,15,10.139999999999999
IFCI,0,25,3,0,56.976399993896486,55.78149993896484,61.189998626708984,18,15,10.139999999999999
SBIN,0,25,3,0,1107.633995361328,951.9654986572266,1080.25,18,15,10.139999999999999
IDEA,0,25,3,0,10.079400024414063,9.23365002155304,9.609999656677246,18,15,10.139999999999999
TATASTEEL,0,25,3,0,200.36259918212892,177.78674964904786,212.1199951171875,18,15,10.139999999999999
ADANIPOWER,0,25,3,0,152.2632000732422,140.99495006561278,198.5,18,15,10.139999999999999
AXISBANK,0,25,3,0,1304.2959985351563,1217.706357421875,1359.0999755859375,18,15,10.139999999999999
CANBK,0,25,3,0,142.42079849243163,132.75850006103516,142.3699951171875,18,15,10.139999999999999
COALINDIA,0,25,3,0,438.30645568847655,392.96711975097656,438.75,18,15,10.139999999999999
APARINDS,0,25,3,0,10046.56,8916.162861328125,11482.0,18,15,10.139999999999999
UNIONBANK,0,25,3,0,182.80360107421876,155.28224292755127,188.91000366210938,18,15,10.139999999999999
INDUSINDBK,0,25,3,0,873.0440014648437,832.1222509765626,853.9000244140625,18,15,10.139999999999999
BANDHANBNK,0,25,3,0,166.14139984130858,161.87516891479493,174.47000122070312,18,15,10.139999999999999
LIQUIDBEES,0,25,3,0,999.995595703125,997.7430648803711,1000.0,18,15,10.139999999999999
TVSMOTOR,0,25,3,0,3668.381396484375,3448.7415014648436,3735.800048828125,18,15,10.139999999999999
RBLBANK,0,25,3,0,309.4079986572266,292.4019007873535,315.54998779296875,18,15,10.139999999999999
POWERGRID,0,25,3,0,297.11958374023436,279.24270469665527,318.1000061035156,18,15,10.139999999999999
DRREDDY,0,25,3,0,1266.2680102539061,1256.8985137939453,1235.699951171875,18,15,10.139999999999999
JSWSTEEL,0,25,3,0,1204.477998046875,1137.5572805786132,1240.300048828125,18,15,10.139999999999999
BANKINDIA,0,25,3,0,156.87780059814452,137.2984502029419,148.10000610351562,18,15,10.139999999999999
NESTLEIND,0,25,3,0,1252.5950390625,1226.8570617675782,1285.5999755859375,18,15,10.139999999999999
BEL,0,25,3,0,437.3515313720703,410.5071461486816,462.75,18,15,10.139999999999999
ASHOKLEY,0,25,3,0,187.01739959716798,155.99487308502196,174.77999877929688,18,15,10.139999999999999
ONGC,0,25,3,0,273.02099151611327,242.72850944519044,284.04998779296875,18,15,10.139999999999999
SHRIRAMFIN,0,25,3,0,1008.9679943847656,815.2772283935547,1036.949951171875,18,15,10.139999999999999
BAJAJ-AUTO,0,25,3,0,9489.82,9027.2275,9773.5,18,15,10.139999999999999
MCX,0,25,3,0,2496.35599609375,2010.5514404296875,2856.10009765625,18,15,10.139999999999999
HINDALCO,0,25,3,0,935.5230029296876,821.2483142089844,1039.0,18,15,10.139999999999999
BHEL,0,25,3,0,263.69320037841794,256.04657417297364,316.7900085449219,18,15,10.139999999999999
MAHABANK,0,25,3,0,67.28439964294434,59.57464038848877,72.7300033569336,18,15,10.139999999999999
SUNPHARMA,0,25,3,0,1736.0041748046874,1689.425067138672,1675.5,18,15,10.139999999999999
FEDERALBNK,0,25,3,0,281.03600036621094,240.38806663513185,293.75,18,15,10.139999999999999
VOLTAMP,0,25,3,0,8600.45,8104.200981445312,10145.0,18,15,10.139999999999999
MTARTECH,0,25,3,0,3698.9719873046874,2450.969493408203,4857.7998046875,18,15,10.139999999999999
BANKBARODA,0,25,3,0,286.32360290527345,271.90545135498047,280.44000244140625,18,15,10.139999999999999
PFC,0,25,3,0,409.7054235839844,386.58256729125975,464.8500061035156,18,15,10.139999999999999
NTPC,0,25,3,0,374.2527215576172,340.8892086791992,393.6000061035156,18,15,10.139999999999999
BSE,0,25,3,0,2913.864013671875,2626.8715014648437,3531.5,18,15,10.139999999999999
LT,0,25,3,0,3929.99400390625,3827.277004394531,4096.10009765625,18,15,10.139999999999999
POLYCAB,0,25,3,0,7635.91,7359.9525,8182.5,18,15,10.139999999999999
NMDC,0,25,3,0,80.64730880737305,74.68806159973144,89.77999877929688,18,15,10.139999999999999
INDUSTOWER,0,25,3,0,443.54,400.22749908447264,412.25,18,15,10.139999999999999
CHENNPETRO,0,25,3,0,944.7440991210938,832.7923010253907,1041.8499755859375,18,15,10.139999999999999
INDIANB,0,25,3,0,912.3710009765625,794.1430010986328,939.4500122070312,18,15,10.139999999999999
BPCL,0,25,3,0,335.16700134277346,331.64991577148436,312.1000061035156,18,15,10.139999999999999
VOLTAS,0,25,3,0,1417.6780029296874,1384.434501953125,1440.0999755859375,18,15,10.139999999999999
SIEMENS,0,25,3,0,3214.032001953125,3157.2000036621093,3707.89990234375,18,15,10.139999999999999
AUROPHARMA,0,25,3,0,1252.3339990234374,1164.9656204223634,1386.0,18,15,10.139999999999999
EDELWEISS,0,25,3,0,112.3832000732422,110.0308438873291,119.05999755859375,18,15,10.139999999999999
MARICO,0,25,3,0,762.2009985351563,735.4048922729493,757.2999877929688,18,15,10.139999999999999
GMDCLTD,0,25,3,0,579.8939953613282,528.0335357666015,736.9000244140625,18,15,10.139999999999999
GAEL,0,25,3,0,138.43780044555663,119.7985704421997,148.22000122070312,18,15,10.139999999999999
JINDALSTEL,0,25,3,0,1185.5539990234374,1060.536926879883,1270.0,18,15,10.139999999999999
TORNTPHARM,0,25,3,0,4202.93603515625,3782.5575354003904,4179.5,18,15,10.139999999999999
VEDL,0,25,3,0,689.5007629394531,542.5609284973144,787.5,18,15,10.139999999999999
SOUTHBANK,0,25,3,0,38.869400100708006,35.62451584815979,38.93000030517578,18,15,10.139999999999999
SAIL,0,25,3,0,157.55080047607422,139.76076412200928,173.3300018310547,18,15,10.139999999999999
STAR,0,25,3,0,903.3730004882813,886.5984716796875,1000.25,18,15,10.139999999999999
INDIACEM,0,25,3,0,398.787001953125,397.23700119018554,415.6000061035156,18,15,10.139999999999999
GLENMARK,0,25,3,0,2101.3819995117187,2005.1126831054687,2249.5,18,15,10.139999999999999
CUMMINSIND,0,25,3,0,4660.32001953125,4161.931137695313,5140.89990234375,18,15,10.139999999999999
SUNDARMFIN,0,25,3,0,5117.62751953125,4874.581540527343,5028.7998046875,18,15,10.139999999999999
HINDCOPPER,0,25,3,0,543.2705163574219,393.74506622314453,569.5999755859375,18,15,10.139999999999999
NYKAA,0,25,3,0,256.1635992431641,244.67629936218262,269.6600036621094,18,15,10.139999999999999
MOTHERSON,0,25,3,0,120.90526916503906,110.11569007873535,125.02999877929688,18,15,10.139999999999999
AARTIIND,0,25,3,0,432.6260015869141,400.6354734802246,440.8500061035156,18,15,10.139999999999999
AUBANK,0,25,3,0,950.4339990234375,872.7987326049805,990.5999755859375,18,15,10.139999999999999
GRANULES,0,25,3,0,594.3840002441407,549.4156056213379,655.7000122070312,18,15,10.139999999999999
TRIVENI,0,25,3,0,379.3253643798828,361.09946716308593,392.95001220703125,18,15,10.139999999999999
DIVGIITTS,0,25,3,0,692.8849963378906,643.325703125,776.0999755859375,18,15,10.139999999999999
MUTHOOTFIN,0,25,3,0,3417.77697265625,3251.577824707031,3571.300048828125,18,15,10.139999999999999
IOC,0,25,3,0,158.63904968261718,150.89640579223632,145.8800048828125,18,15,10.139999999999999
APLAPOLLO,0,25,3,0,2090.850002441406,1831.8893634033202,2105.699951171875,18,15,10.139999999999999
ABB,0,25,3,0,6129.39,5465.39326171875,7029.5,18,15,10.139999999999999
SCI,0,25,3,0,245.83126495361327,225.45517761230468,305.8699951171875,18,15,10.139999999999999
ADANIPORTS,0,25,3,0,1463.7060083007811,1437.3000006103516,1573.4000244140625,18,15,10.139999999999999
GESHIP,0,25,3,0,1363.8676000976564,1113.40814453125,1424.300048828125,18,15,10.139999999999999
SBILIFE,0,25,3,0,1956.5042504882813,1920.1387780761718,1970.9000244140625,18,15,10.139999999999999
BHARATFORG,0,25,3,0,1744.3679223632812,1409.854482421875,1860.5,18,15,10.139999999999999
KEI,0,25,3,0,4491.601997070313,4167.677420654297,4839.2998046875,18,15,10.139999999999999
SUNTV,0,25,3,0,589.0754443359375,564.7782583618164,643.25,18,15,10.139999999999999
HEROMOTOCO,0,25,3,0,5428.042880859375,5260.494921875,5230.5,18,15,10.139999999999999
APOLLOHOSP,0,25,3,0,7497.23935546875,7448.4827880859375,7699.0,18,15,10.139999999999999
ASTRAL,0,25,3,0,1606.6599951171875,1480.8201739501953,1605.0,18,15,10.139999999999999
NCC,0,25,3,0,147.73039947509767,182.68240287780762,161.25999450683594,18,15,8.139999999999999
SBICARD,0,25,3,0,719.2344653320313,826.3333721923829,695.2000122070312,18,15,8.139999999999999
HUDCO,0,25,3,0,182.24838012695312,209.3872370147705,196.91000366210938,18,15,8.139999999999999
IOB,0,25,3,0,34.30340034484863,37.13245018005371,34.959999084472656,18,15,8.139999999999999
TCS,0,25,3,0,2611.667998046875,2962.572393798828,2581.5,18,15,8.139999999999999
KOTAKBANK,0,25,3,0,394.3189996337891,412.8795967102051,383.6000061035156,18,15,8.139999999999999
INFY,0,25,3,0,1339.8380004882813,1485.034954223633,1318.699951171875,18,15,8.139999999999999
BAJFINANCE,0,25,3,0,928.5179968261718,962.194249572754,908.25,18,15,8.139999999999999
ICICIBANK,0,25,3,0,1330.63400390625,1379.3367797851563,1346.800048828125,18,15,8.139999999999999
GRSE,0,25,3,0,2409.319013671875,2532.4142211914063,2712.0,18,15,8.139999999999999
JUBLFOOD,0,25,3,0,487.7840002441406,577.941106414795,458.95001220703125,18,15,8.139999999999999
RECLTD,0,25,3,0,342.4974639892578,356.53972549438475,373.29998779296875,18,15,8.139999999999999
ADANIGREEN,0,25,3,0,935.9640026855469,985.9204992675782,1127.300048828125,18,15,8.139999999999999
DIXON,0,25,3,0,10697.92,14040.856547851563,11371.5,18,15,8.139999999999999
HINDUNILVR,0,25,3,0,2233.0300048828126,2395.4804052734376,2240.800048828125,18,15,8.139999999999999
HAL,0,25,3,0,3992.8530908203124,4422.769029541016,4388.10009765625,18,15,8.139999999999999
BAJAJFINSV,0,25,3,0,1873.7060083007811,1987.8990051269532,1838.9000244140625,18,15,8.139999999999999
MARUTI,0,25,3,0,13905.58,14762.48841796875,13453.0,18,15,8.139999999999999
ULTRACEMCO,0,25,3,0,11936.4,12098.870913085937,11886.0,18,15,8.139999999999999
IRB,0,25,3,0,21.000515213012694,21.603100414276124,22.260000228881836,18,15,8.139999999999999
UFLEX,0,25,3,0,437.0530010986328,511.0352006530762,406.1499938964844,18,15,8.139999999999999
BERGEPAINT,0,25,3,0,444.04100036621094,519.7590295410156,468.6000061035156,18,15,8.139999999999999
TECHM,0,25,3,0,1451.1340087890626,1504.8394067382812,1511.4000244140625,18,15,8.139999999999999
VENUSPIPES,0,25,3,0,1076.7210021972655,1245.3440029907226,1289.800048828125,18,15,8.139999999999999
COLPAL,0,25,3,0,2051.6659887695314,2178.831387939453,2106.0,18,15,8.139999999999999
DEEPAKFERT,0,25,3,0,1003.6350024414063,1313.2820373535155,1230.3499755859375,18,15,8.139999999999999
BRITANNIA,0,25,3,0,5825.41,5851.490397949219,5735.5,18,15,8.139999999999999
INDIGO,0,25,3,0,4559.5340185546875,5316.72925415039,4638.39990234375,18,15,8.139999999999999
JPPOWER,0,25,3,0,15.19660005569458,17.780500054359436,19.200000762939453,18,15,8.139999999999999
COFORGE,0,25,3,0,1271.50400390625,1634.273773803711,1316.800048828125,18,15,8.139999999999999
LICHSGFIN,0,25,3,0,514.3919970703125,550.8672590637207,540.0,18,15,8.139999999999999
JIOFIN,0,25,3,0,247.565400390625,291.8911080169678,243.86000061035156,18,15,8.139999999999999
YESBANK,0,25,3,0,19.806199951171877,20.91775001525879,20.190000534057617,18,15,8.139999999999999
ADANIENT,0,25,3,0,2068.5119970703126,2301.0674603271486,2218.300048828125,18,15,8.139999999999999
TATAINVEST,0,25,3,0,635.1580053710937,708.5812503051758,712.6500244140625,18,15,8.139999999999999
TATACONSUM,0,25,3,0,1106.9559887695314,1124.8600012207032,1113.199951171875,18,15,8.139999999999999
VPRPL,0,25,3,0,41.72860015869141,89.38994998931885,43.84000015258789,18,15,8.139999999999999
CENTRALBK,0,25,3,0,36.25620018005371,36.92488355636597,36.060001373291016,18,15,8.139999999999999
SJVN,0,25,3,0,71.5009748840332,82.21000549316406,78.62000274658203,18,15,8.139999999999999
ASIANPAINT,0,25,3,0,2319.3919970703123,2517.6830920410157,2464.0,18,15,8.139999999999999
RVNL,0,25,3,0,289.90302001953125,327.1605743408203,303.05999755859375,18,15,8.139999999999999
IDFCFIRSTB,0,25,3,0,71.0588005065918,75.18150043487549,68.52999877929688,18,15,8.139999999999999
AMBUJACEM,0,25,3,0,472.48800170898437,543.5737507629394,459.0,18,15,8.139999999999999
SUZLON,0,25,3,0,43.97299995422363,53.704149875640866,52.93000030517578,18,15,8.139999999999999
TATAPOWER,0,25,3,0,384.69800170898435,386.9999996948242,427.6000061035156,18,15,8.139999999999999
CHOLAFIN,0,25,3,0,1594.1368481445313,1610.645400390625,1579.0,18,15,8.139999999999999
ITC,0,25,3,0,308.8458026123047,369.84675827026365,306.79998779296875,18,15,8.139999999999999
UCOBANK,0,25,3,0,26.86800010681152,29.381500062942504,26.770000457763672,18,15,8.139999999999999
TRENT,0,25,3,0,3835.1460009765624,4535.431995849609,4107.7001953125,18,15,8.139999999999999
ASHOKA,0,25,3,0,130.89960098266602,170.92965061187743,138.82000732421875,18,15,8.139999999999999
HDFCAMC,0,25,3,0,2577.21599609375,2679.8639953613283,2792.39990234375,18,15,8.139999999999999
MANAPPURAM,0,25,3,0,276.91267547607424,279.80993453979494,268.8999938964844,18,15,8.139999999999999
IRFC,0,25,3,0,102.25927856445313,117.63603076934814,104.83999633789062,18,15,8.139999999999999
VBL,0,25,3,0,432.4130615234375,464.86115661621096,473.8999938964844,18,15,8.139999999999999
BHARTIARTL,0,25,3,0,1897.7440112304687,1971.7324822998046,1846.9000244140625,18,15,8.139999999999999
JSWENERGY,0,25,3,0,490.47100036621094,506.38674880981443,538.0499877929688,18,15,8.139999999999999
RELIANCE,0,25,3,0,1395.2880029296875,1440.7604272460937,1365.0,18,15,8.139999999999999
HDFCBANK,0,25,3,0,853.5459997558594,949.0721887207031,799.9000244140625,18,15,8.139999999999999
COCHINSHIP,0,25,3,0,1435.9839965820313,1655.0810931396484,1561.0999755859375,18,15,8.139999999999999
DELTACORP,0,25,3,0,59.90539970397949,73.63793050765992,60.63999938964844,18,15,8.139999999999999
MAZDOCK,0,25,3,0,2360.2797509765624,2639.657061767578,2616.39990234375,18,15,8.139999999999999
CROMPTON,0,25,3,0,249.36119903564452,281.7735250854492,261.45001220703125,18,15,8.139999999999999
TATACOMM,0,25,3,0,1524.1380053710936,1687.913502807617,1521.0999755859375,18,15,8.139999999999999
SRF,0,25,3,0,2612.326005859375,2886.9579296875,2494.5,18,15,8.139999999999999
GRASIM,0,25,3,0,2750.44599609375,2783.214764404297,2720.5,18,15,8.139999999999999
CIPLA,0,25,3,0,1291.0880029296875,1457.7225048828125,1240.800048828125,18,15,8.139999999999999
UPL,0,25,3,0,659.8329968261719,703.0620684814453,664.7000122070312,18,15,8.139999999999999
KALYANKJIL,0,25,3,0,403.76300170898435,481.97393783569333,426.8500061035156,18,15,8.139999999999999
MPHASIS,0,25,3,0,2321.5020190429686,2687.7759600830077,2462.199951171875,18,15,8.139999999999999
JWL,0,25,3,0,277.52520263671875,313.73655006408694,286.2300109863281,18,15,8.139999999999999
PERSISTENT,0,25,3,0,5173.146005859375,5614.2886645507815,5446.5,18,15,8.139999999999999
NHPC,0,25,3,0,76.16430999755859,79.61523216247559,83.55999755859375,18,15,8.139999999999999
FOODSIN,0,25,3,0,58.79280006408691,79.53337255477905,61.41999816894531,18,15,8.139999999999999
BALRAMCHIN,0,25,3,0,474.6750018310547,489.73107406616214,486.0,18,15,8.139999999999999
HCLTECH,0,25,3,0,1429.6679956054688,1517.950625,1442.300048828125,18,15,8.139999999999999
CDSL,0,25,3,0,1271.9000170898437,1483.5527026367188,1393.199951171875,18,15,8.139999999999999
NAUKRI,0,25,3,0,1044.893203125,1280.493950805664,1054.550048828125,18,15,8.139999999999999
KPITTECH,0,25,3,0,770.26560546875,1094.1927252197265,747.7999877929688,18,15,8.139999999999999
RAMCOCEM,0,25,3,0,1047.580001220703,1058.3576028442383,1011.0499877929688,18,15,8.139999999999999
ZEEL,0,25,3,0,82.62520004272461,101.90098125457763,81.04000091552734,18,15,8.139999999999999
RPOWER,0,25,3,0,24.83439998626709,39.814149913787844,28.68000030517578,18,15,8.139999999999999
HLEGLAS,0,25,3,0,315.0940002441406,433.9037516784668,331.29998779296875,18,15,8.139999999999999
WIPRO,0,25,3,0,205.94619995117188,235.21829933166504,204.32000732421875,18,15,8.139999999999999
PIIND,0,25,3,0,3008.9733349609373,3471.8639013671873,3139.699951171875,18,15,8.139999999999999
